"","check_in_date","over_nbookings","over_canceled","over_booking_arrivals","booking_n","booking_canceled","booking_arrivals"
"1",2017-03-25,144,73,71,100,45,55
"2",2017-03-26,126,31,95,100,25,75
"3",2017-03-27,121,24,97,100,17,83
"4",2017-03-28,126,30,96,100,20,80
"5",2017-03-29,120,20,100,100,12,88
"6",2017-03-30,132,52,80,100,39,61
"7",2017-03-31,140,63,77,100,55,45
"8",2017-04-01,127,55,72,100,35,65
"9",2017-04-02,127,19,108,100,21,79
"10",2017-04-03,132,39,93,100,40,60
"11",2017-04-04,159,106,53,100,72,28
"12",2017-04-05,140,77,63,100,48,52
"13",2017-04-06,170,111,59,100,73,27
"14",2017-04-07,127,51,76,100,38,62
"15",2017-04-08,129,74,55,100,51,49
"16",2017-04-09,144,81,63,100,51,49
"17",2017-04-10,126,43,83,100,41,59
"18",2017-04-11,126,43,83,100,23,77
"19",2017-04-12,137,66,71,100,30,70
"20",2017-04-13,140,78,62,100,49,51
"21",2017-04-14,126,58,68,100,40,60
"22",2017-04-15,138,77,61,100,65,35
"23",2017-04-16,139,78,61,100,50,50
"24",2017-04-17,128,48,80,100,36,64
"25",2017-04-18,131,54,77,100,39,61
"26",2017-04-19,121,29,92,100,32,68
"27",2017-04-20,140,76,64,100,53,47
"28",2017-04-21,149,91,58,100,68,32
"29",2017-04-22,176,127,49,100,71,29
"30",2017-04-23,148,70,78,100,42,58
"31",2017-04-24,123,28,95,100,23,77
"32",2017-04-25,134,51,83,100,33,67
"33",2017-04-26,172,131,41,100,74,26
"34",2017-04-27,138,74,64,100,58,42
"35",2017-04-28,127,58,69,100,45,55
"36",2017-04-29,138,87,51,100,55,45
"37",2017-04-30,124,45,79,100,35,65
"38",2017-05-01,135,60,75,100,48,52
"39",2017-05-02,125,29,96,100,20,80
"40",2017-05-03,149,107,42,100,65,35
"41",2017-05-04,154,99,55,100,57,43
"42",2017-05-05,130,59,71,100,48,52
"43",2017-05-06,149,85,64,100,51,49
"44",2017-05-07,128,48,80,100,46,54
"45",2017-05-08,134,67,67,100,53,47
"46",2017-05-09,134,58,76,100,30,70
"47",2017-05-10,128,56,72,100,43,57
"48",2017-05-11,136,60,76,100,40,60
"49",2017-05-12,129,53,76,100,38,62
"50",2017-05-13,138,56,82,100,49,51
"51",2017-05-14,118,20,98,100,17,83
"52",2017-05-15,160,107,53,100,74,26
"53",2017-05-16,129,52,77,100,47,53
"54",2017-05-17,125,34,91,100,23,77
"55",2017-05-18,135,60,75,100,38,62
"56",2017-05-19,171,127,44,100,72,28
"57",2017-05-20,142,90,52,100,65,35
"58",2017-05-21,126,50,76,100,40,60
"59",2017-05-22,124,49,75,100,51,49
"60",2017-05-23,126,43,83,100,37,63
"61",2017-05-24,133,60,73,100,51,49
"62",2017-05-25,152,66,86,100,44,56
"63",2017-05-26,136,69,67,100,47,53
"64",2017-05-27,130,53,77,100,43,57
"65",2017-05-28,144,67,77,100,42,58
"66",2017-05-29,125,33,92,100,15,85
"67",2017-05-30,169,119,50,100,62,38
"68",2017-05-31,137,57,80,100,39,61
"69",2017-06-01,148,81,67,100,59,41
"70",2017-06-02,141,64,77,100,39,61
"71",2017-06-03,147,65,82,100,35,65
"72",2017-06-04,140,52,88,100,34,66
"73",2017-06-05,124,32,92,100,32,68
"74",2017-06-06,125,46,79,100,29,71
"75",2017-06-07,141,69,72,100,53,47
"76",2017-06-08,165,113,52,100,69,31
"77",2017-06-09,146,65,81,100,38,62
"78",2017-06-10,124,40,84,100,35,65
"79",2017-06-11,130,54,76,100,48,52
"80",2017-06-12,136,63,73,100,51,49
"81",2017-06-13,132,42,90,100,31,69
"82",2017-06-14,158,69,89,100,37,63
"83",2017-06-15,139,58,81,100,35,65
"84",2017-06-16,140,70,70,100,33,67
"85",2017-06-17,169,102,67,100,57,43
"86",2017-06-18,131,40,91,100,42,58
"87",2017-06-19,141,53,88,100,43,57
"88",2017-06-20,128,60,68,100,38,62
"89",2017-06-21,144,80,64,100,51,49
"90",2017-06-22,126,45,81,100,37,63
"91",2017-06-23,148,82,66,100,59,41
"92",2017-06-24,155,78,77,100,51,49
"93",2017-06-25,145,14,131,100,9,91
"94",2017-06-26,141,66,75,100,48,52
"95",2017-06-27,131,60,71,100,44,56
"96",2017-06-28,144,68,76,100,50,50
"97",2017-06-29,130,62,68,100,52,48
"98",2017-06-30,139,46,93,100,46,54
"99",2017-07-01,149,46,103,100,32,68
"100",2017-07-02,131,34,97,100,34,66
"101",2017-07-03,131,33,98,100,40,60
"102",2017-07-04,148,31,117,100,20,80
"103",2017-07-05,139,68,71,100,55,45
"104",2017-07-06,133,46,87,100,29,71
"105",2017-07-07,136,65,71,100,44,56
"106",2017-07-08,137,45,92,100,32,68
"107",2017-07-09,138,53,85,100,46,54
"108",2017-07-10,131,48,83,100,35,65
"109",2017-07-11,129,34,95,100,38,62
"110",2017-07-12,148,55,93,100,38,62
"111",2017-07-13,150,39,111,100,31,69
"112",2017-07-14,133,49,84,100,40,60
"113",2017-07-15,132,41,91,100,34,66
"114",2017-07-16,131,41,90,100,26,74
"115",2017-07-17,137,47,90,100,47,53
"116",2017-07-18,144,55,89,100,32,68
"117",2017-07-19,142,33,109,100,20,80
"118",2017-07-20,135,48,87,100,34,66
"119",2017-07-21,129,46,83,100,32,68
"120",2017-07-22,145,43,102,100,28,72
"121",2017-07-23,142,59,83,100,39,61
"122",2017-07-24,132,37,95,100,26,74
"123",2017-07-25,145,55,90,100,41,59
"124",2017-07-26,157,81,76,100,47,53
"125",2017-07-27,134,49,85,100,34,66
"126",2017-07-28,136,71,65,100,42,58
"127",2017-07-29,146,75,71,100,51,49
"128",2017-07-30,130,44,86,100,27,73
"129",2017-07-31,137,45,92,100,30,70
"130",2017-08-01,136,64,72,100,53,47
"131",2017-08-02,136,42,94,100,32,68
"132",2017-08-03,131,57,74,100,37,63
"133",2017-08-04,138,33,105,100,30,70
"134",2017-08-05,136,60,76,100,34,66
"135",2017-08-06,139,55,84,100,34,66
"136",2017-08-07,134,40,94,100,29,71
"137",2017-08-08,146,73,73,100,47,53
"138",2017-08-09,138,51,87,100,39,61
"139",2017-08-10,133,61,72,100,45,55
"140",2017-08-11,138,64,74,100,46,54
"141",2017-08-12,144,51,93,100,32,68
"142",2017-08-13,135,57,78,100,29,71
"143",2017-08-14,134,44,90,100,30,70
"144",2017-08-15,140,57,83,100,41,59
"145",2017-08-16,129,57,72,100,58,42
"146",2017-08-17,137,43,94,100,43,57
"147",2017-08-18,131,50,81,100,48,52
"148",2017-08-19,136,48,88,100,57,43
"149",2017-08-20,128,26,102,100,19,81
"150",2017-08-21,136,52,84,100,44,56
"151",2017-08-22,131,39,92,100,26,74
"152",2017-08-23,127,42,85,100,30,70
"153",2017-08-24,128,42,86,100,30,70
"154",2017-08-25,152,34,118,100,33,67
"155",2017-08-26,145,54,91,100,34,66
"156",2017-08-27,125,31,94,100,25,75
"157",2017-08-28,129,25,104,100,27,73
"158",2017-08-29,139,48,91,100,37,63
"159",2017-08-30,136,31,105,100,25,75
"160",2017-08-31,131,55,76,100,36,64
